"id","value"
"1","1"
"2","0"
"3","0"
"4","1"
"5","1"
"6","0"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","0"
"16","1"
"17","1"
"18","0"
"19","1"
"20","0"
"21","1"
"22","1"
"23","0"
"24","0"
"25","0"
"26","1"
"27","0"
"28","1"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","1"
"35","1"
"36","0"
"37","0"
"38","0"
"39","1"
"40","1"
"41","1"
"42","0"
"43","0"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50","0"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","0"
"57","1"
"58","1"
"59","1"
"60","0"
"61","0"
"62","1"
"63","0"
"64","1"
"65","1"
"66","1"
"67","1"
"68","1"
"69","0"
"70","1"
"71","1"
"72","0"
"73","1"
"74","1"
"75","1"
"76","1"
"77","0"
"78","0"
"79","1"
"80","1"
"81","1"
"82","0"
"83","0"
"84","1"
"85","1"
"86","0"
"87","1"
"88","1"
"89","1"
"90","1"
"91","1"
"92","0"
"93","1"
"94","1"
"95","1"
"96","0"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","0"
"105","0"
"106","0"
"107","1"
"108","1"
"109","1"
"110","0"
"111","1"
"112","0"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","1"
"120","1"
"121","1"
"122","1"
"123","1"
"124","0"
"125","0"
"126","0"
"127","1"
"128","1"
"129","1"
"130","1"
"131","0"
"132","0"
"133","1"
"134","1"
"135","1"
"136","0"
"137","1"
"138","1"
"139","0"
"140","1"
"141","0"
"142","0"
"143","1"
"144","1"
"145","0"
"146","1"
"147","1"
"148","1"
"149","0"
"150","0"
"151","1"
"152","1"
"153","1"
"154","1"
"155","0"
"156","0"
"157","0"
"158","1"
"159","0"
"160","0"
"161","1"
"162","1"
"163","1"
"164","1"
"165","1"
"166","1"
"167","0"
"168","0"
