"id","value"
"1","0"
"2","0"
"3","1"
"4","1"
"5","1"
"6","0"
"7","1"
"8","1"
"9","0"
"10","0"
"11","0"
"12","1"
"13","0"
"14","1"
"15","1"
"16","1"
"17","1"
"18","0"
"19","1"
"20","0"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","0"
"28","0"
"29","0"
"30","1"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","1"
"40","1"
"41","1"
"42","0"
"43","1"
"44","1"
"45","0"
"46","0"
"47","0"
"48","1"
"49","1"
"50","0"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","0"
"59","1"
"60","1"
"61","1"
"62","1"
"63","0"
"64","1"
"65","0"
"66","1"
"67","0"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","0"
"75","0"
"76","0"
"77","1"
"78","1"
"79","1"
"80","0"
"81","0"
"82","0"
"83","0"
"84","1"
"85","1"
"86","0"
"87","0"
"88","0"
"89","0"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","0"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","0"
"117","1"
"118","1"
"119","1"
"120","1"
"121","1"
"122","1"
"123","1"
"124","0"
"125","0"
"126","0"
"127","0"
"128","1"
"129","1"
"130","1"
"131","0"
"132","0"
"133","1"
"134","1"
"135","1"
"136","0"
"137","1"
"138","1"
"139","1"
"140","1"
"141","1"
"142","1"
"143","1"
"144","1"
"145","1"
"146","1"
"147","1"
"148","1"
"149","1"
"150","0"
"151","0"
"152","1"
"153","0"
"154","0"
"155","0"
"156","0"
"157","0"
"158","1"
"159","1"
"160","0"
"161","1"
"162","1"
"163","0"
"164","1"
"165","1"
"166","1"
"167","1"
"168","1"
